Name,Type,Description,Latitude,Longitude,Capacity,Capacity2,IO,Price,Open Year,Area (m2),Park number
Fener 1,parking,Unio Fener 1 301,42.507217,1.53359,245,245,2|14|15|82|85|83|86,1.2,1998,5716,3
Fener 2,parking,DR Fener 2 304,42.506506,1.532934,125,105,12|81|87,1.2,2000,2929,4
Parc Central,parking,Esquerra 201,42.50664,1.527863,540,540,4|19|101|102|25|26|27|45|46,1.2,1998,12170,1
Parc Central 2,parking,Centre Historic Tunel,42.506473,1.524684,111,250,152|106|111|121,1.2,2016,1061,9
Centre Historic,parking,Centre Historic Tunel,42.50588,1.520933,180,150,151|10|96|97|98,3.25,2015,,8
Prada Casadet,parking,601,42.505896,1.522226,28,65,7|88|89,0,2007,5239,6
Prat de la Creu,parking,Esquerra PDLC 101,42.506706,1.522962,800,800,1|3|6|9|13|18|103|105|21|22|23|24|41|42|43|44,3.25,1980,18000,0
Trilla,parking,701 Esq Trilla,42.508765,1.525402,110,700,8|104|93|94|95,1.2,2011,2818,7
Serradells,parking,Serradells 502,42.499912,1.518272,200,200,150|16|17|20|40|51,1.2,,,5
Antic Cami Ral,parking,Antic Cami Ral 412,42.50156,1.512532,75,75,5|11|91|48,1.2,2015,1532,2
