Car Park Number,Device Number,Device Number2,Movement Type,DateTime,Passages
2,91,48,0,2/07/16 00:00,13
2,91,48,0,2/07/16 00:15,1
2,48,48,1,2/07/16 02:30,1
2,48,48,1,2/07/16 02:45,1
2,48,48,1,2/07/16 07:00,1
2,48,48,1,2/07/16 09:00,1
2,48,48,1,2/07/16 09:15,1
2,48,48,1,2/07/16 09:15,1
2,91,48,0,2/07/16 09:15,2
2,91,48,0,2/07/16 09:30,1
2,48,48,1,2/07/16 09:45,1
2,91,48,0,2/07/16 10:00,1
2,91,48,0,2/07/16 10:15,1
2,91,48,0,2/07/16 10:30,2
2,91,48,0,2/07/16 10:45,3
2,91,48,0,2/07/16 11:00,2
2,48,48,1,2/07/16 11:15,3
2,91,48,0,2/07/16 11:15,6
2,48,48,1,2/07/16 11:30,2
2,48,48,1,2/07/16 11:45,1
2,48,48,1,2/07/16 12:15,1
2,91,48,0,2/07/16 12:15,1
2,91,48,0,2/07/16 12:15,1
2,91,48,0,2/07/16 12:30,1
2,48,48,1,2/07/16 13:00,1
2,91,48,0,2/07/16 13:15,1
2,91,48,0,2/07/16 13:15,1
2,48,48,1,2/07/16 13:30,1
2,91,48,0,2/07/16 13:30,1
2,48,48,1,2/07/16 13:45,5
2,91,48,0,2/07/16 13:45,1
2,91,48,0,2/07/16 13:45,1
2,48,48,1,2/07/16 14:00,8
2,48,48,1,2/07/16 14:00,1
2,48,48,1,2/07/16 14:15,1
2,48,48,1,2/07/16 15:00,1
2,91,48,0,2/07/16 15:00,1
2,48,48,1,2/07/16 15:15,1
2,91,48,0,2/07/16 15:15,1
2,91,48,0,2/07/16 15:45,1
2,91,48,0,2/07/16 16:00,1
2,48,48,1,2/07/16 16:15,1
2,48,48,1,2/07/16 17:15,1
2,91,48,0,2/07/16 17:15,1
2,48,48,1,2/07/16 17:30,1
2,48,48,1,2/07/16 17:45,2
2,91,48,0,2/07/16 17:45,1
2,91,48,0,2/07/16 18:15,1
2,48,48,1,2/07/16 18:45,1
2,48,48,1,2/07/16 18:45,1
2,91,48,0,2/07/16 18:45,1
2,91,48,0,2/07/16 18:45,1
2,91,48,0,2/07/16 19:00,1
2,91,48,0,2/07/16 19:00,1
2,48,48,1,2/07/16 19:30,1
2,91,48,0,2/07/16 19:30,1
2,48,48,1,2/07/16 20:00,1
2,91,48,0,2/07/16 20:30,1
2,91,48,0,2/07/16 21:00,2
2,48,48,1,2/07/16 21:15,1
2,91,48,0,2/07/16 21:15,1
2,48,48,1,2/07/16 22:00,2
2,48,48,1,2/07/16 22:00,1
2,91,48,0,2/07/16 22:00,1
2,48,48,1,2/07/16 22:15,1
2,91,48,0,2/07/16 22:30,1
2,48,48,1,3/07/16 00:00,1
2,91,48,0,3/07/16 00:00,2
2,48,48,1,3/07/16 00:30,1
2,48,48,2,3/07/16 00:30,-1
2,91,48,0,3/07/16 00:30,1
2,48,48,1,3/07/16 00:45,1
2,48,48,1,3/07/16 02:00,1
2,91,48,0,3/07/16 02:30,1
2,48,48,1,3/07/16 02:45,1
2,91,48,0,3/07/16 03:30,1
2,48,48,1,3/07/16 07:15,2
2,91,48,0,3/07/16 07:15,1
2,91,48,0,3/07/16 07:30,1
2,48,48,1,3/07/16 07:45,1
2,48,48,1,3/07/16 08:30,1
2,91,48,0,3/07/16 08:30,1
2,48,48,1,3/07/16 09:30,1
2,91,48,0,3/07/16 09:45,1
2,48,48,1,3/07/16 10:15,2
2,91,48,0,3/07/16 10:15,1
2,48,48,1,3/07/16 10:30,1
2,91,48,0,3/07/16 10:30,2
2,91,48,0,3/07/16 10:45,1
2,48,48,1,3/07/16 11:00,1
2,91,48,0,3/07/16 11:00,1
2,48,48,1,3/07/16 11:30,1
2,91,48,0,3/07/16 11:30,1
2,48,48,1,3/07/16 11:45,2
2,91,48,0,3/07/16 11:45,1
2,91,48,0,3/07/16 12:00,1
2,48,48,1,3/07/16 12:15,2
2,48,48,1,3/07/16 12:15,1
2,91,48,0,3/07/16 12:15,1
2,48,48,1,3/07/16 12:30,1
2,48,48,2,3/07/16 12:30,-1
2,91,48,0,3/07/16 12:30,1
2,91,48,0,3/07/16 13:15,1
2,48,48,1,3/07/16 13:30,1
2,91,48,0,3/07/16 13:30,1
2,48,48,1,3/07/16 13:45,1
2,91,48,0,3/07/16 13:45,1
2,91,48,0,3/07/16 13:45,2
2,91,48,0,3/07/16 14:00,1
2,48,48,1,3/07/16 14:15,1
2,91,48,0,3/07/16 14:15,1
2,91,48,0,3/07/16 14:15,1
2,48,48,1,3/07/16 15:45,1
2,91,48,0,3/07/16 15:45,3
2,91,48,0,3/07/16 16:00,1
2,91,48,0,3/07/16 16:00,2
2,48,48,1,3/07/16 16:15,1
2,91,48,0,3/07/16 16:15,4
2,48,48,1,3/07/16 16:30,2
2,91,48,0,3/07/16 16:30,3
2,48,48,1,3/07/16 16:45,3
2,48,48,1,3/07/16 16:45,1
2,48,48,2,3/07/16 16:45,-1
2,48,48,1,3/07/16 17:00,1
2,48,48,1,3/07/16 17:15,2
2,91,48,0,3/07/16 17:30,1
2,48,48,1,3/07/16 17:45,2
2,48,48,1,3/07/16 18:00,2
2,48,48,1,3/07/16 18:30,2
2,91,48,0,3/07/16 18:45,1
2,48,48,1,3/07/16 19:00,1
2,48,48,1,3/07/16 19:00,3
2,91,48,0,3/07/16 19:15,1
2,91,48,0,3/07/16 19:15,1
2,48,48,1,3/07/16 19:30,1
2,48,48,1,3/07/16 19:30,1
2,48,48,1,3/07/16 20:15,1
2,91,48,0,3/07/16 20:15,2
2,48,48,1,3/07/16 20:45,1
2,91,48,0,3/07/16 20:45,1
2,91,48,0,3/07/16 22:30,1
2,91,48,0,3/07/16 23:00,1
2,48,48,1,4/07/16 06:15,1
2,48,48,1,4/07/16 06:30,1
2,48,48,1,4/07/16 07:00,1
2,91,48,0,4/07/16 07:00,1
2,48,48,1,4/07/16 07:45,2
2,91,48,0,4/07/16 07:45,1
2,91,48,0,4/07/16 08:00,1
2,91,48,0,4/07/16 08:00,2
2,48,48,1,4/07/16 08:15,1
2,91,48,0,4/07/16 08:15,2
2,48,48,1,4/07/16 08:30,1
2,91,48,0,4/07/16 08:30,2
2,48,48,1,4/07/16 08:45,1
2,91,48,0,4/07/16 08:45,1
2,91,48,0,4/07/16 08:45,4
2,48,48,1,4/07/16 09:00,1
2,91,48,0,4/07/16 09:00,3
2,91,48,0,4/07/16 09:15,2
2,48,48,1,4/07/16 09:30,1
2,91,48,0,4/07/16 09:30,2
2,48,48,1,4/07/16 09:45,4
2,48,48,1,4/07/16 09:45,1
2,91,48,0,4/07/16 09:45,1
2,48,48,1,4/07/16 10:00,1
2,48,48,1,4/07/16 10:00,1
2,91,48,0,4/07/16 10:00,1
2,48,48,1,4/07/16 10:15,1
2,91,48,0,4/07/16 10:15,1
2,91,48,0,4/07/16 10:30,1
2,91,48,0,4/07/16 10:30,1
2,48,48,1,4/07/16 10:45,2
2,91,48,0,4/07/16 10:45,1
2,48,48,1,4/07/16 11:00,1
2,91,48,0,4/07/16 11:00,2
2,48,48,1,4/07/16 11:15,2
2,48,48,2,4/07/16 11:15,-1
2,91,48,0,4/07/16 11:15,2
2,48,48,1,4/07/16 11:30,1
2,48,48,1,4/07/16 11:45,1
2,48,48,1,4/07/16 12:00,1
2,91,48,0,4/07/16 12:00,1
2,91,48,0,4/07/16 12:00,1
