Name,Coords,Capacity,Type
Tarragona,"42.505888, 1.532066",40,private
Andorra2000,"42.505496, 1.530506",400,private
Saba-Illa,"42.508912, 1.534644",40,private
E'Leclerc,"42.509260, 1.532466",60,private
IQS-STAR,"42.507129, 1.527085",50,private
Pyrenees,"42.508535, 1.524047",400,private
Meritxell,"42.507484, 1.523626",30,private
Vinyes,"42.507061,1.523591",900,private
Bonavista,"42.503588, 1.512291",115,private
D'Enclar,"42.498443, 1.503480",40,private
Saba Centric,"42.508588,1.531282",291,private
Bo•gues,"42.507665, 1.538418",159,Escaldes
Carretera d'Engolasters,"42.507881, 1.548180",49,Escaldes
Esgl_sia,"42.508623, 1.541616",44,Escaldes
Arnaldeta de Caboet,"42.509150, 1.537412",126,Escaldes
Constituci—,"42.509088, 1.538431",70,Escaldes
Nacions Unides,"42.509748, 1.537607",72,Escaldes
Prat Gran,"42.509858, 1.539271",27,Escaldes
Consell de la Terra,"42.509418, 1.534665",102,Escaldes
Plaza Creu Blanca,"42.510320, 1.541951",75,Escaldes
Parnal,"42.510421, 1.538310",82,Escaldes
Prat del Rouge,"42.510686, 1.535961",115,Escaldes
Caldea,"42.511415, 1.537627",439,Escaldes
Til-lari,"42.512025, 1.539639",43,Escaldes
San Jaume,"42.512836, 1.543064",69,Escaldes
Les teulades,"42.514001, 1.534208",144,Escaldes
Vilars,"42.515170, 1.532145",114,Escaldes
Fener 3,"42.507702, 1.536661",120,Escaldes
